Section,Item Name,"Suggested Filename (exact, case-sensitive)"
Shop Product,"Operational Amplifiers (LM358, LM741)",operational-amplifiers-lm358-lm741.jpg
Shop Product,Optocouplers (PC817),optocouplers-pc817.jpg
Shop Product,MCP23017 I2C I/O Expander Modules,mcp23017-i2c-i-o-expander-modules.jpg
Shop Product,PCF8574 I/O Expansion Boards,pcf8574-i-o-expansion-boards.jpg
Shop Product,PCA9685 16-Channel PWM Drivers,pca9685-16-channel-pwm-drivers.jpg
Shop Product,CD74HC4067 16-Channel Analog Multiplexers,cd74hc4067-16-channel-analog-multiplexers.jpg
Shop Product,74HC595 Shift Register Modules,74hc595-shift-register-modules.jpg
Shop Product,MAX7219 Dot Matrix Display Driver Modules,max7219-dot-matrix-display-driver-modules.jpg
Shop Product,ULN2003 Darlington Transistor Driver Boards,uln2003-darlington-transistor-driver-boards.jpg
Shop Product,"RTC Modules (DS1307, DS3231)",rtc-modules-ds1307-ds3231.jpg
Shop Product,ADS1115 16-Bit 4-Channel ADC Module,ads1115-16-bit-4-channel-adc-module.jpg
Shop Product,Laser Diodes and Laser Transmitter Modules,laser-diodes-and-laser-transmitter-modules.jpg
Shop Product,IR Transmitter and Receiver Diodes,ir-transmitter-and-receiver-diodes.jpg
Shop Product,Slide Potentiometers (Linear Faders),slide-potentiometers-linear-faders.jpg
Shop Product,Multi-Turn Precision Potentiometers,multi-turn-precision-potentiometers.jpg
Shop Product,Trimpot Resistor Assortment Kits,trimpot-resistor-assortment-kits.jpg
Shop Product,Piezo Spark Igniters,piezo-spark-igniters.jpg
Shop Product,Resistor Color Code Guide Cards,resistor-color-code-guide-cards.jpg
Shop Product,ATmega328P Microcontroller IC (with Bootloader),atmega328p-microcontroller-ic-with-bootloader.jpg
Shop Product,ATmega16A / ATmega32A Microcontroller ICs,atmega16a-atmega32a-microcontroller-ics.jpg
Shop Product,ATtiny85 Microcontroller IC,attiny85-microcontroller-ic.jpg
Shop Product,PIC Microcontrollers (PIC16F877A),pic-microcontrollers-pic16f877a.jpg
Shop Product,7-Segment Displays,7-segment-displays.jpg
Shop Product,Dot Matrix Displays,dot-matrix-displays.jpg
Shop Product,"LCD Displays (16x2, 20x4)",lcd-displays-16x2-20x4.jpg
Shop Product,OLED Displays,oled-displays.jpg
Shop Product,TFT Touch Screens,tft-touch-screens.jpg
Shop Product,TM1637 4-Digit 7-Segment Display Modules,tm1637-4-digit-7-segment-display-modules.jpg
Shop Product,Nokia 5110 LCD Displays,nokia-5110-lcd-displays.jpg
Shop Product,ST7735 1.8-Inch TFT Color Displays,st7735-1-8-inch-tft-color-displays.jpg
Shop Product,ILI9341 2.2-Inch TFT Touch Screens,ili9341-2-2-inch-tft-touch-screens.jpg
Shop Product,SSD1306 0.96-Inch OLED Displays,ssd1306-0-96-inch-oled-displays.jpg
Shop Product,SSD1309 2.42-Inch OLED Displays,ssd1309-2-42-inch-oled-displays.jpg
Shop Product,"E-Paper Displays (2.9-Inch, 4.2-Inch)",e-paper-displays-2-9-inch-4-2-inch.jpg
Shop Product,DFPlayer Pro MP3 Modules,dfplayer-pro-mp3-modules.jpg
Shop Product,SYN6288 Text-to-Speech Modules,syn6288-text-to-speech-modules.jpg
Shop Product,ISD1820 Voice Recording and Playback Modules,isd1820-voice-recording-and-playback-modules.jpg
Shop Product,WT588D Voice Sound Modules,wt588d-voice-sound-modules.jpg
Shop Product,TPA3116D2 Dual Channel Amplifiers,tpa3116d2-dual-channel-amplifiers.jpg
Shop Product,PAM8610 15W+15W Dual Channel Audio Amplifiers,pam8610-15w-15w-dual-channel-audio-amplifiers.jpg
Shop Product,Bluetooth Audio Receiver Boards,bluetooth-audio-receiver-boards.jpg
Shop Product,FM Radio Receiver Modules,fm-radio-receiver-modules.jpg
Shop Product,"Audio Amplifier ICs (TDA2030, PAM8403)",audio-amplifier-ics-tda2030-pam8403.jpg
Shop Product,Piezo Buzzers (Active and Passive),piezo-buzzers-active-and-passive.jpg
Shop Product,Mini DC Speakers,mini-dc-speakers.jpg
Shop Product,MP3 Player Modules (DFPlayer Mini),mp3-player-modules-dfplayer-mini.jpg
Shop Product,VS1053 MP3 / Audio Codec Modules,vs1053-mp3-audio-codec-modules.jpg
Shop Product,"Audio Amplifier Boards (TDA7297, TPA3116D2)",audio-amplifier-boards-tda7297-tpa3116d2.jpg
Shop Product,Electret Condenser Microphones,electret-condenser-microphones.jpg
Shop Product,Piezoelectric Discs (Buzzer Elements),piezoelectric-discs-buzzer-elements.jpg
Shop Product,Thermal Printers (TTL Serial Receipt Printers),thermal-printers-ttl-serial-receipt-printers.jpg
Shop Product,Arduino Uno,arduino-uno.jpg
Shop Product,Arduino Nano,arduino-nano.jpg
Shop Product,Arduino Mega,arduino-mega.jpg
Shop Product,Arduino Pro Mini,arduino-pro-mini.jpg
Shop Product,Arduino Leonardo,arduino-leonardo.jpg
Shop Product,Arduino Due,arduino-due.jpg
Shop Product,Arduino Zero,arduino-zero.jpg
Shop Product,Teensy 3.2,teensy-3-2.jpg
Shop Product,Teensy 4.0 / 4.1,teensy-4-0-4-1.jpg
Shop Product,NodeMCU ESP32S,nodemcu-esp32s.jpg
Shop Product,ESP-WROOM-32,esp-wroom-32.jpg
Shop Product,ESP8266 NodeMCU,esp8266-nodemcu.jpg
Shop Product,ESP32,esp32.jpg
Shop Product,ESP32-CAM,esp32-cam.jpg
Shop Product,ESP32-CAM AI-Thinker Module with OV2640,esp32-cam-ai-thinker-module-with-ov2640.jpg
Shop Product,Raspberry Pi Pico,raspberry-pi-pico.jpg
Shop Product,Raspberry Pi 4B / 5,raspberry-pi-4b-5.jpg
Shop Product,Raspberry Pi Zero 2 W,raspberry-pi-zero-2-w.jpg
Shop Product,Raspberry Pi Compute Modules,raspberry-pi-compute-modules.jpg
Shop Product,STM32 Development Boards,stm32-development-boards.jpg
Shop Product,Particle Boron,particle-boron.jpg
Shop Product,Particle Argon,particle-argon.jpg
Shop Product,Adafruit Feather Boards,adafruit-feather-boards.jpg
Shop Product,Adafruit Circuit Playground,adafruit-circuit-playground.jpg
Shop Product,BBC micro:bit,bbc-micro-bit.jpg
Shop Product,PyBoard,pyboard.jpg
Shop Product,Orange Pi Zero,orange-pi-zero.jpg
Shop Product,Banana Pi M3,banana-pi-m3.jpg
Shop Product,Odroid C4,odroid-c4.jpg
Shop Product,Banana Pi / Orange Pi Development Boards,banana-pi-orange-pi-development-boards.jpg
Shop Product,Arduino Sensor Shield,arduino-sensor-shield.jpg
Shop Product,NodeMCU ESP8266 Module,nodemcu-esp8266-module.jpg
Shop Product,ESP32-WROOM-32 Module,esp32-wroom-32-module.jpg
Shop Product,NodeMCU Base Expansion Boards,nodemcu-base-expansion-boards.jpg
Shop Product,AVR Programmers,avr-programmers.jpg
Shop Product,DHT11 Temperature & Humidity Sensor,dht11-temperature-humidity-sensor.jpg
Shop Product,DHT22 Temperature & Humidity Sensor,dht22-temperature-humidity-sensor.jpg
Shop Product,BMP180 Barometric Pressure Sensor,bmp180-barometric-pressure-sensor.jpg
Shop Product,BME280 Environment Sensor,bme280-environment-sensor.jpg
Shop Product,"MQ Series Gas Sensors (MQ-2, MQ-3, MQ-135)",mq-series-gas-sensors-mq-2-mq-3-mq-135.jpg
Shop Product,PIR Motion Sensor,pir-motion-sensor.jpg
Shop Product,Ultrasonic Sensor (HC-SR04),ultrasonic-sensor-hc-sr04.jpg
Shop Product,Accelerometer & Gyroscope (MPU6050),accelerometer-gyroscope-mpu6050.jpg
Shop Product,Tilt Sensor,tilt-sensor.jpg
Shop Product,Vibration Sensor,vibration-sensor.jpg
Shop Product,IR Obstacle/Line Tracking Sensor,ir-obstacle-line-tracking-sensor.jpg
Shop Product,Fingerprint Sensor Module,fingerprint-sensor-module.jpg
Shop Product,OV2640 Camera Module,ov2640-camera-module.jpg
Shop Product,"Sound / Microphone Sensors (KY-037, MAX9814)",sound-microphone-sensors-ky-037-max9814.jpg
Shop Product,Flame Sensors,flame-sensors.jpg
Shop Product,Rain Drop Sensors,rain-drop-sensors.jpg
Shop Product,Soil Moisture Sensors,soil-moisture-sensors.jpg
Shop Product,Water Level Sensors,water-level-sensors.jpg
Shop Product,Light Dependent Resistors (LDR),light-dependent-resistors-ldr.jpg
Shop Product,TCS3200 Color Sensor,tcs3200-color-sensor.jpg
Shop Product,MAX30100 / MAX30102 Heart Rate & Pulse Oximeter Sensors,max30100-max30102-heart-rate-pulse-oximeter-sensors.jpg
Shop Product,MLX90614 Infrared Thermometer Sensor,mlx90614-infrared-thermometer-sensor.jpg
Shop Product,TTP223 Touch Sensor Modules,ttp223-touch-sensor-modules.jpg
Shop Product,Reed Switches,reed-switches.jpg
Shop Product,Magnetic Door Contact Sensors,magnetic-door-contact-sensors.jpg
Shop Product,Opto-Interrupter Modules,opto-interrupter-modules.jpg
Shop Product,Hall Effect Sensors (3144),hall-effect-sensors-3144.jpg
Shop Product,"Current Sensors (ACS712 - 5A, 20A, 30A)",current-sensors-acs712-5a-20a-30a.jpg
Shop Product,Voltage Sensor Modules,voltage-sensor-modules.jpg
Shop Product,"Load Cell Weight Sensors (1kg, 5kg, 10kg, 50kg)",load-cell-weight-sensors-1kg-5kg-10kg-50kg.jpg
Shop Product,HX711 Load Cell Amplifier Modules,hx711-load-cell-amplifier-modules.jpg
Shop Product,INA219 High Side DC Current Sensor Modules,ina219-high-side-dc-current-sensor-modules.jpg
Shop Product,ACS758 Heavy Duty Current Sensors,acs758-heavy-duty-current-sensors.jpg
Shop Product,WCS1800 Current Sensors,wcs1800-current-sensors.jpg
Shop Product,ZMPT101B AC Voltage Sensor Modules,zmpt101b-ac-voltage-sensor-modules.jpg
Shop Product,PZEM-004T AC Energy Meters,pzem-004t-ac-energy-meters.jpg
Shop Product,SCT-013 Non-Invasive AC Current Clamp Sensors,sct-013-non-invasive-ac-current-clamp-sensors.jpg
Shop Product,DS18B20 Waterproof Temperature Sensors,ds18b20-waterproof-temperature-sensors.jpg
Shop Product,PT100 RTD Temperature Sensors,pt100-rtd-temperature-sensors.jpg
Shop Product,K-Type Thermocouple Probes with MAX6675 Modules,k-type-thermocouple-probes-with-max6675-modules.jpg
Shop Product,SEN0193 Capacitive Soil Moisture Sensors,sen0193-capacitive-soil-moisture-sensors.jpg
Shop Product,MQ-138 Gas Sensors,mq-138-gas-sensors.jpg
Shop Product,MQ-8 Hydrogen Gas Detectors,mq-8-hydrogen-gas-detectors.jpg
Shop Product,MQ-9 Carbon Monoxide and Methane Sensors,mq-9-carbon-monoxide-and-methane-sensors.jpg
Shop Product,MG811 Carbon Dioxide CO2 Sensor Modules,mg811-carbon-dioxide-co2-sensor-modules.jpg
Shop Product,ZE08-CH2O Formaldehyde Gas Sensors,ze08-ch2o-formaldehyde-gas-sensors.jpg
Shop Product,MP503 Air Quality Sensor Modules,mp503-air-quality-sensor-modules.jpg
Shop Product,SEN0248 Laser Dust Sensors,sen0248-laser-dust-sensors.jpg
Shop Product,PMS7003 Particulate Matter Air Sensors,pms7003-particulate-matter-air-sensors.jpg
Shop Product,MiCS-5524 Gas Sensor Modules,mics-5524-gas-sensor-modules.jpg
Shop Product,SEN0205 Liquid Flow Meters,sen0205-liquid-flow-meters.jpg
Shop Product,YF-B5 Water Flow Sensors,yf-b5-water-flow-sensors.jpg
Shop Product,FS400A Water Flow Switches,fs400a-water-flow-switches.jpg
Shop Product,DN25 Brass Water Flow Sensors,dn25-brass-water-flow-sensors.jpg
Shop Product,Non-Invasive Liquid Level Sensors,non-invasive-liquid-level-sensors.jpg
Shop Product,Optical Liquid Level Switches,optical-liquid-level-switches.jpg
Shop Product,Float Level Switches,float-level-switches.jpg
Shop Product,Stainless Steel Float Switches,stainless-steel-float-switches.jpg
Shop Product,Water Leak Detection Sensor Ropes,water-leak-detection-sensor-ropes.jpg
Shop Product,Soil Salinity Sensors,soil-salinity-sensors.jpg
Shop Product,VL53L0X Time-of-Flight Laser Distance Sensors,vl53l0x-time-of-flight-laser-distance-sensors.jpg
Shop Product,VL53L1X Long Range ToF Sensors,vl53l1x-long-range-tof-sensors.jpg
Shop Product,GP2Y0A21YK0F Infrared Distance Sensors,gp2y0a21yk0f-infrared-distance-sensors.jpg
Shop Product,GP2Y0A02YK0F Sharp IR Sensors,gp2y0a02yk0f-sharp-ir-sensors.jpg
Shop Product,HC-SR05 Ultrasonic Sensors,hc-sr05-ultrasonic-sensors.jpg
Shop Product,US-015 High Precision Ultrasonic Sensors,us-015-high-precision-ultrasonic-sensors.jpg
Shop Product,TFmini Micro LiDAR Distance Sensors,tfmini-micro-lidar-distance-sensors.jpg
Shop Product,YD-LiDAR Kits,yd-lidar-kits.jpg
Shop Product,RPLIDAR A1 360-Degree Laser Scanners,rplidar-a1-360-degree-laser-scanners.jpg
Shop Product,ADXL345 3-Axis Accelerometers,adxl345-3-axis-accelerometers.jpg
Shop Product,MPU9250 9-Axis Motion Tracking Sensors,mpu9250-9-axis-motion-tracking-sensors.jpg
Shop Product,ICM-20948 9-Axis IMU Modules,icm-20948-9-axis-imu-modules.jpg
Shop Product,BNO055 9-Axis Absolute Orientation Sensors,bno055-9-axis-absolute-orientation-sensors.jpg
Shop Product,HMC5883L Triple Axis Magnetometer Compass Modules,hmc5883l-triple-axis-magnetometer-compass-modules.jpg
Shop Product,QMC5883L Digital Compass Modules,qmc5883l-digital-compass-modules.jpg
Shop Product,ADXL335 Analog Accelerometers,adxl335-analog-accelerometers.jpg
Shop Product,MMA7361 3-Axis Accelerometer Modules,mma7361-3-axis-accelerometer-modules.jpg
Shop Product,GY-302 BH1750 Digital Light Intensity Sensors,gy-302-bh1750-digital-light-intensity-sensors.jpg
Shop Product,TSL2561 Luminosity Sensor Modules,tsl2561-luminosity-sensor-modules.jpg
Shop Product,"APDS-9960 Proximity, Gesture and RGB Color Sensor Modules",apds-9960-proximity-gesture-and-rgb-color-sensor-modules.jpg
Shop Product,BH1750FVI Ambient Light Sensors,bh1750fvi-ambient-light-sensors.jpg
Shop Product,VEML6075 UVA/UVB Ultraviolet Sensor Modules,veml6075-uva-uvb-ultraviolet-sensor-modules.jpg
Shop Product,Si1145 UV Index IR Visible Light Sensors,si1145-uv-index-ir-visible-light-sensors.jpg
Shop Product,AD8232 ECG Heart Rate Monitor Modules,ad8232-ecg-heart-rate-monitor-modules.jpg
Shop Product,Pulse Sensor Amped,pulse-sensor-amped.jpg
Shop Product,SEN0213 GSR Galvanic Skin Response Sensors,sen0213-gsr-galvanic-skin-response-sensors.jpg
Shop Product,Gravity Analog Sound Level Meters,gravity-analog-sound-level-meters.jpg
Shop Product,SEN0232 Speech Recognition Modules,sen0232-speech-recognition-modules.jpg
Shop Product,LD2410 24GHz Human Presence Radar Sensors,ld2410-24ghz-human-presence-radar-sensors.jpg
Shop Product,HLK-LD2410C Millimeter Wave Radar Modules,hlk-ld2410c-millimeter-wave-radar-modules.jpg
Shop Product,RCWL-0516 Microwave Radar Motion Detector Modules,rcwl-0516-microwave-radar-motion-detector-modules.jpg
Shop Product,Filament Runout Sensors,filament-runout-sensors.jpg
Shop Product,BLTouch Auto Bed Leveling Sensors,bltouch-auto-bed-leveling-sensors.jpg
Shop Product,Fingerprint Scanners (R305 / R307 optical),fingerprint-scanners-r305-r307-optical.jpg
Shop Product,Laser Receiver Sensor Modules,laser-receiver-sensor-modules.jpg
Shop Product,Color Recognition Sensors (TCS230 / TCS3200),color-recognition-sensors-tcs230-tcs3200.jpg
Shop Product,UV Radiation Sensors (GUVA-S12SD),uv-radiation-sensors-guva-s12sd.jpg
Shop Product,Solar Radiation & Light Intensity Sensors (BH1750),solar-radiation-light-intensity-sensors-bh1750.jpg
Shop Product,Turbidity Water Sensors,turbidity-water-sensors.jpg
Shop Product,TDS Meters / Sensors,tds-meters-sensors.jpg
Shop Product,Flow Rate Sensors (Water Flow Meters - YF-S201),flow-rate-sensors-water-flow-meters-yf-s201.jpg
Shop Product,pH Sensor Modules for Water Testing,ph-sensor-modules-for-water-testing.jpg
Shop Product,Flame Detection IR Sensors,flame-detection-ir-sensors.jpg
Shop Product,Alcohol Breathalyzer Modules (MQ-3),alcohol-breathalyzer-modules-mq-3.jpg
Shop Product,Carbon Monoxide Detectors (MQ-7),carbon-monoxide-detectors-mq-7.jpg
Shop Product,Methane / LPG Leak Detectors (MQ-6),methane-lpg-leak-detectors-mq-6.jpg
Shop Product,Dust Sensors (GP2Y1010AU0F),dust-sensors-gp2y1010au0f.jpg
Shop Product,Heart Rate & SpO2 Sensors (MAX30100),heart-rate-spo2-sensors-max30100.jpg
Shop Product,EMG Muscle Sensor Myoware Boards,emg-muscle-sensor-myoware-boards.jpg
Shop Product,EEG Brain-Wave Sensor Modules,eeg-brain-wave-sensor-modules.jpg
Shop Product,Flex Sensors (Bending Sensors),flex-sensors-bending-sensors.jpg
Shop Product,Force Sensitive Resistors (FSR),force-sensitive-resistors-fsr.jpg
Shop Product,Piezo Vibration Sensors,piezo-vibration-sensors.jpg
Shop Product,Rotary Encoders (KY-040),rotary-encoders-ky-040.jpg
Shop Product,NTC Thermistors (100K for 3D Printers),ntc-thermistors-100k-for-3d-printers.jpg
Shop Product,"Bluetooth Module (HC-05, HC-06)",bluetooth-module-hc-05-hc-06.jpg
Shop Product,NRF24L01 Wireless Module,nrf24l01-wireless-module.jpg
Shop Product,GSM Module (SIM800L),gsm-module-sim800l.jpg
Shop Product,RFID Reader (RC522),rfid-reader-rc522.jpg
Shop Product,FT232H USB to SPI/I2C/UART Interface Converters,ft232h-usb-to-spi-i2c-uart-interface-converters.jpg
Shop Product,CP2112 USB to I2C Communication Bridges,cp2112-usb-to-i2c-communication-bridges.jpg
Shop Product,CH341A USB Programmer Boards,ch341a-usb-programmer-boards.jpg
Shop Product,USB to RS485 Converters,usb-to-rs485-converters.jpg
Shop Product,RS232 to RS485 Bi-Directional Converters,rs232-to-rs485-bi-directional-converters.jpg
Shop Product,Ethernet to Serial TCP/IP Server Modules,ethernet-to-serial-tcp-ip-server-modules.jpg
Shop Product,Serial to Wi-Fi Modules (USR-W610),serial-to-wi-fi-modules-usr-w610.jpg
Shop Product,SIM800C GSM/GPRS Shield Boards,sim800c-gsm-gprs-shield-boards.jpg
Shop Product,A6 GSM/GPRS Modules,a6-gsm-gprs-modules.jpg
Shop Product,SIM7000C NB-IoT/LTE-M/GPS All-in-One Modules,sim7000c-nb-iot-lte-m-gps-all-in-one-modules.jpg
Shop Product,SIM7600CE 4G LTE Modules with GNSS,sim7600ce-4g-lte-modules-with-gnss.jpg
Shop Product,SIM808 GPS/GSM Tracking Modules,sim808-gps-gsm-tracking-modules.jpg
Shop Product,ATGM336H GPS/BDS Dual-Mode Navigation Modules,atgm336h-gps-bds-dual-mode-navigation-modules.jpg
Shop Product,NEO-M8N High Precision GPS Modules,neo-m8n-high-precision-gps-modules.jpg
Shop Product,RTK GPS Base Stations,rtk-gps-base-stations.jpg
Shop Product,SX1280 2.4GHz LoRa Modules,sx1280-2-4ghz-lora-modules.jpg
Shop Product,HopeRF RFM95W LoRa Transceiver Modules,hoperf-rfm95w-lora-transceiver-modules.jpg
Shop Product,RFM69HCW High Power RF Transceiver Modules,rfm69hcw-high-power-rf-transceiver-modules.jpg
Shop Product,CC1101 Wireless Transceiver Modules,cc1101-wireless-transceiver-modules.jpg
Shop Product,NRF905 Wireless Data Transmission Modules,nrf905-wireless-data-transmission-modules.jpg
Shop Product,APC220 Wireless RF Communication Modules,apc220-wireless-rf-communication-modules.jpg
Shop Product,HC-12 SI4438 Wireless Serial Modules,hc-12-si4438-wireless-serial-modules.jpg
Shop Product,E32-TTL-100 LoRa Modules,e32-ttl-100-lora-modules.jpg
Shop Product,LoRa SX1276 / SX1278 Wireless Modules,lora-sx1276-sx1278-wireless-modules.jpg
Shop Product,Zigbee Modules (CC2530),zigbee-modules-cc2530.jpg
Shop Product,nRF52832 Bluetooth Low Energy (BLE) Module,nrf52832-bluetooth-low-energy-ble-module.jpg
Shop Product,SIM900A GSM/GPRS Module,sim900a-gsm-gprs-module.jpg
Shop Product,"GPS Modules (NEO-6M, NEO-M8N)",gps-modules-neo-6m-neo-m8n.jpg
Shop Product,"Ethernet Module (ENC28J60, W5500)",ethernet-module-enc28j60-w5500.jpg
Shop Product,"USB to TTL Converters (CP2102, CH340, FT232RL)",usb-to-ttl-converters-cp2102-ch340-ft232rl.jpg
Shop Product,MAX232 RS232 to TTL Communication ICs,max232-rs232-to-ttl-communication-ics.jpg
Shop Product,CAN Bus Modules (MCP2515),can-bus-modules-mcp2515.jpg
Shop Product,RFID Keyfobs and Cards,rfid-keyfobs-and-cards.jpg
Shop Product,RFID ID/IC Card Writers and Copiers,rfid-id-ic-card-writers-and-copiers.jpg
Shop Product,SIM7600 4G LTE Communication Modules,sim7600-4g-lte-communication-modules.jpg
Shop Product,SX1262 High Power LoRa Modules,sx1262-high-power-lora-modules.jpg
Shop Product,nRF24L01+ with PA and LNA Antenna Modules,nrf24l01-with-pa-and-lna-antenna-modules.jpg
Shop Product,MAX485 TTL to RS485 Communication Modules,max485-ttl-to-rs485-communication-modules.jpg
Shop Product,Bluetooth Low Energy Beacons,bluetooth-low-energy-beacons.jpg
Shop Product,Arduino Motor Shield,arduino-motor-shield.jpg
Shop Product,L293D Motor Shield Boards,l293d-motor-shield-boards.jpg
Shop Product,DC Toy Motors,dc-toy-motors.jpg
Shop Product,BO Motors (Single and Dual Shaft),bo-motors-single-and-dual-shaft.jpg
Shop Product,"Stepper Motors (NEMA 17, 28BYJ-48)",stepper-motors-nema-17-28byj-48.jpg
Shop Product,"Servo Motors (SG90, MG996R)",servo-motors-sg90-mg996r.jpg
Shop Product,Coreless Motors,coreless-motors.jpg
Shop Product,Mini Submersible Water Pumps,mini-submersible-water-pumps.jpg
Shop Product,L298N Motor Driver,l298n-motor-driver.jpg
Shop Product,L293D Motor Driver,l293d-motor-driver.jpg
Shop Product,PCA9685 Servo Driver,pca9685-servo-driver.jpg
Shop Product,MOSFET Driver Modules (F530N / IRF520),mosfet-driver-modules-f530n-irf520.jpg
Shop Product,PWM DC Motor Speed Controllers,pwm-dc-motor-speed-controllers.jpg
Shop Product,Linear Actuators (12V),linear-actuators-12v.jpg
Shop Product,Solenoid Valves (Water and Air),solenoid-valves-water-and-air.jpg
Shop Product,Mini Air Pumps (12V / 6V),mini-air-pumps-12v-6v.jpg
Shop Product,High Torque DC Gear Motors,high-torque-dc-gear-motors.jpg
Shop Product,Heavy Duty Window Wiper Motors,heavy-duty-window-wiper-motors.jpg
Shop Product,Worm Gear DC Motors,worm-gear-dc-motors.jpg
Shop Product,Planetary Gearbox DC Motors,planetary-gearbox-dc-motors.jpg
Shop Product,"Coreless Micro Motors (7x20mm, 8x20mm)",coreless-micro-motors-7x20mm-8x20mm.jpg
Shop Product,High Speed Brushless DC Motors (BLDC),high-speed-brushless-dc-motors-bldc.jpg
Shop Product,Outrunner Brushless Motors for Drones,outrunner-brushless-motors-for-drones.jpg
Shop Product,ESC (Electronic Speed Controllers for Drones),esc-electronic-speed-controllers-for-drones.jpg
Shop Product,Propellers (CW and CCW Plastic/Carbon Fiber),propellers-cw-and-ccw-plastic-carbon-fiber.jpg
Shop Product,Quadcopter Drone Frames,quadcopter-drone-frames.jpg
Shop Product,Heavy Duty Linear Actuators with Feedback,heavy-duty-linear-actuators-with-feedback.jpg
Shop Product,Micro Linear Actuators (5V/12V),micro-linear-actuators-5v-12v.jpg
Shop Product,Electric Rolling Shutter Motors,electric-rolling-shutter-motors.jpg
Shop Product,DC Miniature Solenoids (Push-Pull Type),dc-miniature-solenoids-push-pull-type.jpg
Shop Product,Heavy Duty Electromagnets (100kg holding force),heavy-duty-electromagnets-100kg-holding-force.jpg
Shop Product,Piezoelectric Ultrasonic Transducers,piezoelectric-ultrasonic-transducers.jpg
Shop Product,Shape Memory Alloy Spring Actuators,shape-memory-alloy-spring-actuators.jpg
Shop Product,Peristaltic Dosing Pumps (12V/24V),peristaltic-dosing-pumps-12v-24v.jpg
Shop Product,High Pressure Diaphragm Water Pumps,high-pressure-diaphragm-water-pumps.jpg
Shop Product,"DC Brushless Cooling Fans (5V, 12V, 24V)",dc-brushless-cooling-fans-5v-12v-24v.jpg
Shop Product,Radial Blower Fans (Turbo Fans),radial-blower-fans-turbo-fans.jpg
Shop Product,Water Cooling Pumps for PC/Projects,water-cooling-pumps-for-pc-projects.jpg
Shop Product,Pneumatic Air Valves and Tubing,pneumatic-air-valves-and-tubing.jpg
Shop Product,Mini Vacuum Pumps (12V),mini-vacuum-pumps-12v.jpg
Shop Product,Solenoid Door Locks (12V Electronic Latches),solenoid-door-locks-12v-electronic-latches.jpg
Shop Product,Electromagnets (Heavy Duty 12V / 24V Lifting Magnets),electromagnets-heavy-duty-12v-24v-lifting-magnets.jpg
Shop Product,Shape Memory Alloy (SMA) Wires,shape-memory-alloy-sma-wires.jpg
Shop Product,Piezo Actuators,piezo-actuators.jpg
Shop Product,A4988 Stepper Motor Driver Modules,a4988-stepper-motor-driver-modules.jpg
Shop Product,DRV8825 Stepper Motor Drivers,drv8825-stepper-motor-drivers.jpg
Shop Product,TMC2208 / TMC2209 Ultra-Silent Stepper Drivers,tmc2208-tmc2209-ultra-silent-stepper-drivers.jpg
Shop Product,TB6600 High Power Stepper Motor Drivers,tb6600-high-power-stepper-motor-drivers.jpg
